"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840344106729418949","Sun Sep 29 10:53:21 +0000 2024","5","Ayo dong boikot produk2 israel/yahudi! @sakkusaitna @agama_nusantara @BayuAngora @spektrumku @Valhallaah @bnsphrxyzzz @RefublikAteis @Kappa_2023 @PaijoKhentirr @_chris_ting_ @NamoAryatara @jonnypengacara","1840344106729418949","","","in","","0","0","2","https://x.com/mx00711/status/1840344106729418949","1221737894957568000","mx00711"
"1840343477726417333","Sun Sep 29 10:50:51 +0000 2024","2","Ayo dong boikot produk2 yahudi/israel! @sakkusaitna @agama_nusantara @BayuAngora @spektrumku @Valhallaah @bnsphrxyzzz @RefublikAteis @Kappa_2023 @PaijoKhentirr @_chris_ting_ @NamoAryatara @jonnypengacara","1840343477726417333","","","in","","0","0","2","https://x.com/mx00711/status/1840343477726417333","1221737894957568000","mx00711"
"1840342724865646986","Sun Sep 29 10:47:52 +0000 2024","2","️Dua cara yang punya kekuatan besar untuk menghentikan agresi Israel; Aksi militer dan boikot terhadap Israel serta pihak-pihak yang mendukungnya. Mandalika | Jerome #LanjutBoikotIsrael #palestineisnotalone #gazaliveson https://t.co/4qp9N280G9","1840342724865646986","https://pbs.twimg.com/media/GYo13AJXsAA8YAt.jpg","","in","","0","0","1","https://x.com/dearakhirat/status/1840342724865646986","1747709018431279104","dearakhirat"
"1840342522444271693","Sun Sep 29 10:47:03 +0000 2024","1","️Dua aksi yang memiliki pengaruh besar untuk menghentikan serangan Israel; Gerakan militer dan boikot terhadap Israel serta pendukungnya. Mandalika | Jerome #LanjutBoikotIsrael #palestineisnotalone #gazaliveson https://t.co/BlldT51G7n","1840342522444271693","https://pbs.twimg.com/media/GYo1qt-WAAAdle0.jpg","","in","","0","0","0","https://x.com/dearakhirat/status/1840342522444271693","1747709018431279104","dearakhirat"
"1840342337920139604","Sun Sep 29 10:46:19 +0000 2024","1","️Dua tindakan yang memiliki pengaruh kuat dalam menghentikan agresi Israel; Perlawanan militer serta boikot terhadap Israel dan pendukungnya. Mandalika | Jerome #LanjutBoikotIsrael #palestineisnotalone #gazaliveson https://t.co/PYemKa4JzI","1840342337920139604","https://pbs.twimg.com/media/GYo1hCdW4AA4Sdw.jpg","","in","","0","0","0","https://x.com/dearakhirat/status/1840342337920139604","1747709018431279104","dearakhirat"
"1840342175143342354","Sun Sep 29 10:45:41 +0000 2024","0","️Dua aksi yang mempunyai kekuatan besar untuk menghentikan serangan Israel; Aksi militer dan boikot terhadap Israel serta pihak yang mendukung Israel. Mandalika | Jerome #LanjutBoikotIsrael #palestineisnotalone #gazaliveson https://t.co/S0XNGcrcRj","1840342175143342354","https://pbs.twimg.com/media/GYo1VO0W8AAPe1-.jpg","","in","","0","0","0","https://x.com/dearakhirat/status/1840342175143342354","1747709018431279104","dearakhirat"
"1840314156916084938","Sun Sep 29 09:43:57 +0000 2024","33","@LoudMinorities Ini di kasi kesempatan buat dialog malah mabur entar giliran Israel nyerang baru dah koar2 boikot ... Lagian yg walkout juga negara2 yg butuh Israel bukan Israel yang butuh mereka..... ","1840326640116941043","","LoudMinorities","in","","0","5","1","https://x.com/Alex_C1L0G_JOE/status/1840326640116941043","956416550214369280","Alex_C1L0G_JOE"
"1840002318055723213","Sun Sep 29 09:32:33 +0000 2024","0","@KompasTV Alhamdulillah.. tekanan buat Israel dan teruskan boikot produk Israel..","1840323770592194680","","KompasTV","in","Jakarta","0","0","0","https://x.com/Makmur13745478/status/1840323770592194680","1098790982856757251","Makmur13745478"
"1840271993591214113","Sun Sep 29 08:47:59 +0000 2024","0","@SammiSoh Anda sempit wawasan.. buta pd pembantaian bayi2 oleh Israel.. dr zaman bg Karno semua presiden mendukung kemerdekaan Palestina berdasar proklamasi penjajahan di dunia hrs dihapuskan.. Ka'bah dijaga kekhusu'an beribadah.. Indonesia dgn kekayaan alam potensi boikot produk Israel.","1840312557875155414","","SammiSoh","in","Jakarta","0","0","0","https://x.com/Makmur13745478/status/1840312557875155414","1098790982856757251","Makmur13745478"
"1840275415585472527","Sun Sep 29 06:20:24 +0000 2024","1","Perkara boikot ini emang bikin aku ga bisa makan Pizza Hut dan Domino's Pizza. Mana belum nemu pizza yg enak yg bisa GoFood buat gantiin dua merek itu. Guendheng ncen Israel. Coba Saizeriya ada di Jakarta (Jakarta Timur terutama) ","1840275415585472527","","","in","Jakarta Capital Region","0","0","0","https://x.com/alifiamd/status/1840275415585472527","41228407","alifiamd"
