text,preprocessed_text,sentiment,confidence,favorite_count,created_at,location,username,source_dataset
@wanderqlust kalau ga salah karena salah satu pencipta atau apalah itu ada yang ex tentara israel jadi banyak yang boikot,kalau ga salah karena salah satu pencipta atau apalah itu ada yang ex tentara israel jadi banyak yang boikot,positive,0.995729386806488,0,Wed Nov 13 14:23:42 +0000 2024,jeremiah's,Nflrmd_,uploaded_data
@tanyarlfes Aneh sih sebenernya Btw Yg bawah buat doi gamon bgt vibes nya https://t.co/EZ3QPUyfAq,aneh sih sebenernya btw yg bawah buat doi gamon bgt vibes nya,positive,0.9885931015014648,0,Wed Nov 13 13:46:00 +0000 2024,,theycallme_gaez,uploaded_data
@livingbestlife_ @DSofdi @AaronDVankov ya emang ga ngaruh.. udah berapa lama situ boikot? apa Israel udah pergi dari jalur gaza? yg ada malah sekarang merembet ke lebanon. terus gimana? bahagia ga sudah buat saudara sebangsa nya menderita?,ya emang ga ngaruh udah berapa lama situ boikot apa israel udah pergi dari jalur gaza yg ada malah sekarang merembet ke lebanon terus gimana bahagia ga sudah buat saudara sebangsa nya menderita,positive,0.9989306330680847,0,Wed Nov 13 13:32:01 +0000 2024,City of Heroes,AgastyArcanA,uploaded_data
Sejak gerakan demo boikot perusahaan yang dianggap berafiliasi dgn Israel. Di mana perusahaan tutup &amp; phk massal. Sekarang jalan Jakarta banyak pengemis berpeci sorban dgn kedok bangun masjid kotak amal &amp; yatim piatu. Muslim nyusahin muslim. Ide @erlanishere emang joss!,sejak gerakan demo boikot perusahaan yang dianggap berafiliasi dgn israel di mana perusahaan tutup amp phk massal sekarang jalan jakarta banyak pengemis berpeci sorban dgn kedok bangun masjid kotak amal amp yatim piatu muslim nyusahin muslim ide emang joss,positive,0.9994798302650452,18,Wed Nov 13 13:17:38 +0000 2024,Indonesia,ProfOnline_id,uploaded_data
@JurmondeL804 @erlanishere Induk kfc sama dengan pizza hut. Pizza hut suka ngasih pizza gratis ke tentara setan israel induk nya si Yum brands punya investasi di israel. Gw sih boikot semua nya. https://t.co/UnjpDg3a3f,induk kfc sama dengan pizza hut pizza hut suka ngasih pizza gratis ke tentara setan israel induk nya si yum brands punya investasi di israel gw sih boikot semua nya,positive,0.9691553115844727,0,Wed Nov 13 13:15:55 +0000 2024,Jakarta,Babidut8,uploaded_data
BOIKOT Hanya 20.000 tiket yang terjual dari 80.000 tiket Pertandingan Prancis - Israel Tercatat Jumlah Penonton Terendah dalam Sejarah Stade De France untuk Pertandingan yang Melibatkan Tim Prancis https://t.co/qQEf4eYeOp,boikot hanya 20 000 tiket yang terjual dari 80 000 tiket pertandingan prancis israel tercatat jumlah penonton terendah dalam sejarah stade de france untuk pertandingan yang melibatkan tim prancis,neutral,0.990029513835907,16,Wed Nov 13 11:39:36 +0000 2024,West Bradford,guzelamare,uploaded_data
https://t.co/ND1V9lxAc3 Pizza Hut dikecam karena mendukung tentara Israel dan menghadapi boikot di seluruh dunia https://t.co/H1pNAtwKx0,pizza hut dikecam karena mendukung tentara israel dan menghadapi boikot di seluruh dunia,positive,0.9831235408782959,0,Wed Nov 13 10:42:58 +0000 2024,,AbilYasir,uploaded_data
@namazu_sensei Dari awal poin saya bukan tentang dukungan atau tidak kepada Israel tapi tentang perbedaan tujuan dari 2 kasus boikot yang Anda sederhanakan hanya karna kesamaan pembatasan produk Padahal tujuannya jelas berbeda dan itu intinya bukan malah melabeli orang sebagai zionis Dan,dari awal poin saya bukan tentang dukungan atau tidak kepada israel tapi tentang perbedaan tujuan dari 2 kasus boikot yang anda sederhanakan hanya karna kesamaan pembatasan produk padahal tujuannya jelas berbeda dan itu intinya bukan malah melabeli orang sebagai zionis dan,positive,0.9850220084190369,0,Wed Nov 13 10:23:58 +0000 2024,GBLA - République d'Indonésie,AmaniLalaland,uploaded_data
BDS Menggandeng Aplikasi Boycat untuk Permudah Aksi Boikot Produk Pro Israel https://t.co/iScSLYdO7y,bds menggandeng aplikasi boycat untuk permudah aksi boikot produk pro israel,neutral,0.9980334639549255,0,Wed Nov 13 10:21:30 +0000 2024,,a_daud_ppnp,uploaded_data
@AmaniLalaland @siregar_najeges Pernah bc bukubpendiri BDS Movement Omar Barghoutti? Ga ada 1 kalimat pun dia bilang BDS targetnya membangkrutkan Israel. Dl Gandhi memulai Swadeshi di India boikot tekstil Inggris apa dikira Gandhi berambisi bangkrutin Inggris yg Penjajah #1 Dunia? https://t.co/hZtqn8mFUU,pernah bc bukubpendiri bds movement omar barghoutti ga ada 1 kalimat pun dia bilang bds targetnya membangkrutkan israel dl gandhi memulai swadeshi di india boikot tekstil inggris apa dikira gandhi berambisi bangkrutin inggris yg penjajah 1 dunia,positive,0.9978975057601929,0,Wed Nov 13 09:30:58 +0000 2024,,Dillakodildap2,uploaded_data
